language	scopeName
go	source.go
python	source.python
css	source.css
clojure	source.clojure
perl	source.perl
perl6	source.perl.6
rust	source.rust
fsharp	source.fsharp
r	source.r
java	source.java
html	text.html.basic
html	text.html.derivative
php	source.php
php	text.html.php
lua	source.lua
vb	source.asp.vb.net
powershell	source.powershell
typescript	source.ts
typescriptreact	source.tsx
c	source.c
cpp	source.cpp
cpp	source.c.platform
swift	source.swift
shellscript	source.shell
csharp	source.cs
bat	source.batchfile
groovy	source.groovy
coffeescript	source.coffee
javascriptreact	source.js.jsx
javascript	source.js
javascript	source.js.regexp
objective-c	source.objc
objective-cpp	source.objcpp
ruby	source.ruby
sql	source.sql
